Instance,Vertices,Edges,Terminals,Algorithm,Cut Weight,Iterations,Time (ms)
N160K20M4N1,160,649,20,Local Search (OneEach),2154.000,20,
N160K20M4N1,160,649,20,Local Search (Clumps),2156.000,16,
N160K20M4N1,160,649,20,Local Search (Isolation Heuristic),2166.000,14,
N160K20M4N1,160,649,20,Local Search (Random1),2161.000,19,
N160K20M4N1,160,649,20,Local Search (Random2),2152.000,20,
N160K20M4N2,160,651,20,Local Search (OneEach),2040.000,20,
N160K20M4N2,160,651,20,Local Search (Clumps),2041.000,12,
N160K20M4N2,160,651,20,Local Search (Isolation Heuristic),2048.000,11,
N160K20M4N2,160,651,20,Local Search (Random1),2040.000,16,
N160K20M4N2,160,651,20,Local Search (Random2),2039.000,18,
N160K20M4N3,160,653,20,Local Search (OneEach),1875.000,22,
N160K20M4N3,160,653,20,Local Search (Clumps),1873.000,15,
N160K20M4N3,160,653,20,Local Search (Isolation Heuristic),1880.000,14,
N160K20M4N3,160,653,20,Local Search (Random1),1888.000,18,
N160K20M4N3,160,653,20,Local Search (Random2),1882.000,17,
N160K20M4N4,160,644,20,Local Search (OneEach),2012.000,20,
N160K20M4N4,160,644,20,Local Search (Clumps),2008.000,17,
N160K20M4N4,160,644,20,Local Search (Isolation Heuristic),2017.000,12,
N160K20M4N4,160,644,20,Local Search (Random1),2012.000,19,
N160K20M4N4,160,644,20,Local Search (Random2),2010.000,17,
N160K20M4N5,160,660,20,Local Search (OneEach),2077.000,20,
N160K20M4N5,160,660,20,Local Search (Clumps),2077.000,13,
N160K20M4N5,160,660,20,Local Search (Isolation Heuristic),2082.000,10,
N160K20M4N5,160,660,20,Local Search (Random1),2081.000,16,
N160K20M4N5,160,651,20,Local Search (Random2),2075.000,18,1461
N320K40M4N1,320,1309,40,Local Search (OneEach),4186.000,43,
N320K40M4N1,320,1309,40,Local Search (Clumps),4185.000,29,
N320K40M4N1,320,1309,40,Local Search (Isolation Heuristic),4191.000,25,
N320K40M4N1,320,1309,40,Local Search (Random1),4187.000,35,
N320K40M4N1,320,1309,40,Local Search (Random2),4186.000,36,
N320K40M4N2,320,1307,40,Local Search (OneEach),4025.000,40,
N320K40M4N2,320,1307,40,Local Search (Clumps),4011.000,32,
N320K40M4N2,320,1307,40,Local Search (Isolation Heuristic),4018.000,35,
N320K40M4N2,320,1307,40,Local Search (Random1),4029.000,33,
N320K40M4N2,320,1307,40,Local Search (Random2),4025.000,37,
N320K40M4N3,320,1311,40,Local Search (OneEach),4469.000,42,
N320K40M4N3,320,1311,40,Local Search (Clumps),4465.000,33,
N320K40M4N3,320,1311,40,Local Search (Isolation Heuristic),4465.000,37,
N320K40M4N3,320,1311,40,Local Search (Random1),4468.000,40,
N320K40M4N3,320,1311,40,Local Search (Random2),4466.000,37,
N320K40M4N4,320,1306,40,Local Search (OneEach),3944.000,42,
N320K40M4N4,320,1306,40,Local Search (Clumps),3943.000,22,
N320K40M4N4,320,1306,40,Local Search (Isolation Heuristic),3943.000,31,
N320K40M4N4,320,1306,40,Local Search (Random1),3940.000,36,
N320K40M4N4,320,1306,40,Local Search (Random2),3939.000,37,
N320K40M4N5,320,1311,40,Local Search (OneEach),4371.000,42,
N320K40M4N5,320,1311,40,Local Search (Clumps),4355.000,35,
N320K40M4N5,320,1311,40,Local Search (Isolation Heuristic),4358.000,34,
N320K40M4N5,320,1311,40,Local Search (Random1),4366.000,39,
N320K40M4N5,320,1308,40,Local Search (Random2),4362.000,37,13740
N640K80M4N1,640,2615,80,Local Search (OneEach),8465.000,97,
N640K80M4N1,640,2615,80,Local Search (Clumps),8462.000,64,
N640K80M4N1,640,2615,80,Local Search (Isolation Heuristic),8464.000,71,
N640K80M4N1,640,2615,80,Local Search (Random1),8472.000,91,
N640K80M4N1,640,2615,80,Local Search (Random2),8462.000,79,
N640K80M4N2,640,2636,80,Local Search (OneEach),8303.000,86,
N640K80M4N2,640,2636,80,Local Search (Clumps),8299.000,59,
N640K80M4N2,640,2636,80,Local Search (Isolation Heuristic),8299.000,61,
N640K80M4N2,640,2636,80,Local Search (Random1),8300.000,79,
N640K80M4N2,640,2636,80,Local Search (Random2),8306.000,79,
N640K80M4N3,640,2623,80,Local Search (OneEach),8480.000,89,
N640K80M4N3,640,2623,80,Local Search (Clumps),8471.000,64,
N640K80M4N3,640,2623,80,Local Search (Isolation Heuristic),8477.000,66,
N640K80M4N3,640,2623,80,Local Search (Random1),8476.000,81,
N640K80M4N3,640,2623,80,Local Search (Random2),8477.000,80,
N640K80M4N4,640,2624,80,Local Search (OneEach),8366.000,93,
N640K80M4N4,640,2624,80,Local Search (Clumps),8356.000,62,
N640K80M4N4,640,2624,80,Local Search (Isolation Heuristic),8359.000,70,
